CID SURVEY RA DEC z
2013cs 56 198.812 -17.9654 0.01029
2002dj 57 198.251 -19.519 0.01051
2002dj 63 198.251 -19.519 0.01051
2013E 56 150.023 -34.2337 0.01042
1997do 62 111.677 47.0933 0.01048
ASASSN-16jf 150 339.247 -25.232 0.0104
iPTF13ebh 56 35.4999 33.2705 0.01238
iPTF13ebh 5 35.4999 33.2705 0.01238
2010ko 56 83.206 -14.0961 0.01096
2013ex 51 83.1942 -14.0459 0.01096
2013ex 56 83.1942 -14.0459 0.01096
2009ab 5 64.1516 2.7642 0.01189
2011ao 56 178.463 33.3629 0.01168
2001cz 50 191.876 -39.58 0.01275
2009kk 66 57.4345 -3.2644 0.01244
2010Y 66 162.766 65.7797 0.01142
2008R 5 45.9738 -11.9943 0.0126
2002ha 57 311.827 0.3127 0.0122
2002ha 63 311.827 0.3127 0.0122
2009kq 51 129.063 28.0671 0.01247
2009kq 66 129.063 28.0671 0.01247
2001bt 50 288.445 -59.2897 0.01407
2001ep 57 74.2511 -4.7612 0.01306
2001ep 63 74.2511 -4.7612 0.01306
2013gy 51 55.5703 -4.7218 0.01309
2013gy 56 55.5703 -4.7218 0.01309
AT2017cfd 150 130.204 73.4875 0.01222
2017cfd 51 130.204 73.4875 0.01222
2007hj 57 345.449 15.5865 0.01288
2007hj 5 345.449 15.5865 0.01288
2007hj 65 345.449 15.5865 0.01288
2008hv 56 136.892 3.3923 0.0136
2008hv 5 136.892 3.3923 0.0136
2008hv 65 136.892 3.3923 0.0136
1997E 62 101.909 74.4975 0.01314
2007cv 56 159.439 -27.0825 0.01361
1992al 50 311.485 -51.3944 0.01434
1999dk 50 22.8622 14.2849 0.014
1999dk 57 22.8622 14.2849 0.014
ASASSN-16dn 150 162.206 -20.2639 0.01406
ASASSN-16la 150 37.3226 18.0879 0.01424
2005kc 5 338.531 5.5684 0.01386
2005kc 64 338.531 5.5684 0.01386
2007ca 57 202.774 -15.1018 0.01509
2007ca 5 202.774 -15.1018 0.01509
2007ca 64 202.774 -15.1018 0.01509
2006N 64 92.1302 64.7236 0.01416
2006td 64 29.5657 36.3494 0.01504
2013gq 51 124.473 23.4696 0.01457
2004eo 5 308.226 9.9285 0.0142
2003gt 57 308.246 9.872 0.01422
2005bo 5 192.421 -11.0965 0.01503
2005bo 57 192.421 -11.0965 0.01503
2001fe 63 144.488 25.4948 0.01448
2013fa 51 310.973 12.5144 0.01429
2000dm 57 274.746 16.2482 0.01472
PSNJ2043531 150 310.972 12.5085 0.01449
